"id","title","year","language","authors"
"txu.059173011978377","First day in grapes /","2002","eng","Pe?rez, L. King; Casilla, Robert"
"txu.059173001361778","The golden flower : a Taino myth from Puerto Rico /","1996","eng","Jaffe, Nina; Sanchez, Enrique O., 1942-"
"mdp.39076001692859","Baseball in April and other stories /","1990","eng",""
"txu.059173004335912","Spirits of the high mesa /","1997","eng",""
"mdp.39015059210800","C?sar : s?, se puede! yes, we can! /","2004","eng","Bernier-Grand, Carmen T; Diaz, David,"
"txu.059173004718092","Laughing tomatoes and other spring poems = Jitomates risuen?os y otros poemas de primavera : poems /","1997","eng, spa","Alarco?n, Francisco X., 1954-; Gonza?lez, Cristina"
"txu.059173011706480","The pot that Juan Built /","2002","eng","Andrews-Goebel, Nancy; Diaz, David"
"mdp.39015056821443","Cuba 15 : a novel /","2003","eng",""
"mdp.39015063340247","Do?a Flor : a tall tale about a giant woman with a great big heart /","2005","eng","Mora, Pat; Col?n, Ra?l,"
"mdp.39015073958756","Frida : viva la vida = long live life /","2007","eng",""
"txu.059173005421565","Barrio : Jose?'s neighborhood /","1998","eng",""
"mdp.39015054125284","Breaking through /","2001","eng",""
"txu.059173010190199","Iguanas in the snow and other winter poems /","2001","eng, spa","Alarco?n, Francisco X., 1954-; Gonzalez, Maya Christina"
