"id","title","year","language","authors"
"mdp.39015004255306","When I was young in the mountains /","1982","eng",""
"mdp.39015005489789","The Bremen-town musicians /","1980","eng",""
"mdp.39015015517264","Hershel and the Hanukkah goblins /","1989","eng","Kimmel, Eric A; Hyman, Trina Schart,"
"mdp.39015013528537","Pedro, the angel of Olvera Street /","1946","eng",""
"pst.000043633265","Dick Whittington and his cat /","1997","eng",""
"uiuc.99845516712205899","A different pond /","2017","eng","Phi, Bao, 1975-; Bui, Thi,"
"mdp.39015027558439","Anatole and the cat /","1957","eng","Titus, Eve; Galdone, Paul"
"mdp.39015011494773","Mice twice /","1980","eng",""
"umn.31951000783090a","The Christmas Anna Angel,","1944","eng","Sawyer, Ruth, 1880-1970; Seredy, Kate"
"pst.000043642816","Tom tit tot :  an English folk tale /","1997","eng",""
"mdp.39015008985890","The storm book.","1952","eng",""
"mdp.39015055468733","Book of nursery and Mother Goose rhymes.","1954","eng",""
"mdp.39015008165303","McElligot's pool /","1947","eng",""
"mdp.39076002195407","Bambino the clown /","1947","eng",""
"uc1.b4098740","When will the world be mine? : the story of a snowshoe rabbit /","1953","eng","Schlein, Miriam; Charlot, Jean, 1898-1979,"
"mdp.39015000574601","You can write Chinese,","1945","eng",""
"mdp.39015013514537","The boy of the three-year nap /","1988","eng","Snyder, Dianne; Say, Allen,"
"mdp.39015005443034","If I ran the zoo /","1950","eng",""
"mdp.39015056221040","The spider and the fly /","2002","eng","Howitt, Mary (Mary Botham), 1799-1888; DiTerlizzi, Tony,"
"mdp.39076002198096","The ageless story : with its antiphons /","1939","eng",""
"mdp.39015036898784","In my mother's house,","1941","eng","Clark, Ann Nolan, 1896-1995; Herrera, Velino"
"mdp.39015020472083","Wee Gillis /","1938","eng","Leaf, Munro, 1905-1976; Lawson, Robert, 1892-1957,"
"mdp.39015066860977","Moses : when Harriet Tubman led her people to freedom /","2006","eng","Weatherford, Carole Boston, 1956-; Nelson, Kadir,"
"mdp.39015066072987","The day we saw the sun come up /","1961","eng","Goudey, Alice E; Adams, Adrienne"
"txu.059173002900991","Henry, fisherman; a story of the Virgin Islands.","1949","eng",""
"mdp.39015005293108","The two Reds /","1950","eng","Will, 1904-; Nicolas, 1911-1973,"
"mdp.39015058280143","Don't let the pigeon drive the bus /","2003","eng",""
"pst.000064833248","Free fall /","2008","eng",""
"mdp.39015031366605","Juanita.","1948","eng",""
"mdp.39015024971734","Tar Beach /","1991","eng",""
"uc1.b4101855","Nothing at all /","1941","eng",""
"pst.000033371764","Margaret Wise Brown's A child's good night book /","1950","eng","Brown, Margaret Wise, 1910-1952; Charlot, Jean, 1898-1979"
"pst.000063394528","Puss in Boots : a free translation from the French /","","eng","Perrault, Charles, 1628-1703; Brown, Marcia"
"mdp.39015033266886","John Henry /","1994","eng","Lester, Julius; Pinkney, Jerry,"
"mdp.39015027552218","All around the town;","1948","eng","McGinley, Phyllis, 1905-1978; Stone, Helen, 1903-1978"
"mdp.39015009050421","Thy friend, Obadiah /","1969","eng",""
"uiuc.99875587812205899","Thank You, Omu! /","2018","eng",""
